"filename", "language", "TypeScript", "Vue", "HTML", "Less", "CSS", "XML", "comment", "blank", "total"
"c:\Users\atrox\Desktop\chat\cloud_music\src\main\index.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 29, 12, 161
"c:\Users\atrox\Desktop\chat\cloud_music\src\preload\index.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\atrox\Desktop\chat\cloud_music\src\preload\index.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 10, 4, 43
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\auto-imports.d.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 7, 1, 85
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\components.d.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 5, 2, 53
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\electron-drag.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\index.html", "HTML", 0, 0, 14, 0, 0, 0, 2, 4, 20
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\App.vue", "Vue", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\api\index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\api\request.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 4, 4, 44
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\api\user.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 5, 3, 60
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\antStyle.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\antStyle.less", "Less", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\fonts.css", "CSS", 0, 0, 0, 0, 98, 0, 1, 1, 100
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\fonts.less", "Less", 0, 0, 0, 100, 0, 0, 0, 31, 131
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 141, 0, 1, 1, 143
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\styles.less", "Less", 0, 0, 0, 69, 0, 0, 4, 13, 86
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\icons.svg", "XML", 0, 0, 0, 0, 0, 34, 0, 1, 35
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\FlootBar.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\HeadBar.vue", "Vue", 0, 268, 0, 0, 0, 0, 1, 8, 277
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\KindsTitle.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\SideBar.vue", "Vue", 0, 141, 0, 0, 0, 0, 28, 3, 172
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\Swiper.vue", "Vue", 0, 160, 0, 0, 0, 0, 2, 1, 163
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\navModel.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 1, 109
