"filename", "language", "Vue", "TypeScript", "Less", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\atrox\Desktop\chat\cloud_music\src\main\index.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 29, 12, 161
"c:\Users\atrox\Desktop\chat\cloud_music\src\preload\index.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\atrox\Desktop\chat\cloud_music\src\preload\index.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 10, 4, 43
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\auto-imports.d.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 7, 1, 85
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\components.d.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 5, 2, 61
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\electron-drag.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 2, 3, 10
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\index.html", "HTML", 0, 0, 0, 14, 0, 0, 2, 4, 20
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\App.vue", "Vue", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\api\index.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\api\request.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 4, 4, 44
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\api\user.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 5, 3, 60
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\antStyle.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\antStyle.less", "Less", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\fonts.css", "CSS", 0, 0, 0, 0, 98, 0, 1, 1, 100
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\fonts.less", "Less", 0, 0, 100, 0, 0, 0, 0, 31, 131
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 151, 0, 1, 1, 153
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\css\styles.less", "Less", 0, 0, 64, 0, 0, 0, 9, 14, 87
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\assets\icons.svg", "XML", 0, 0, 0, 0, 0, 34, 0, 1, 35
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\FlootBar.vue", "Vue", 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\HeadBar.vue", "Vue", 292, 0, 0, 0, 0, 0, 1, 8, 301
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\KindsTitle.vue", "Vue", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\Base\SideBar.vue", "Vue", 141, 0, 0, 0, 0, 0, 28, 3, 172
